Date,Time (UTC),rad(m)
2020-12-08,2020-12-08 11:59:30.000000000,0.025204861111111133
2020-12-09,2020-12-09 11:59:30.000000000,0.07129236111111116
2020-12-10,2020-12-10 11:57:52.758620672,0.06102442528735634
2020-12-11,2020-12-11 11:59:30.000000000,0.0935041666666667
2020-12-12,2020-12-12 11:59:30.000000000,0.008125694444444477
2020-12-13,2020-12-13 11:59:30.000000000,-0.021722222222222195
2020-12-14,2020-12-14 07:17:00.000000000,0.2529634285714286
2020-12-15,2020-12-15 08:55:30.000000000,0.3244570858283433
2020-12-16,2020-12-16 05:58:37.200000256,-0.21819777777777774
2020-12-17,2020-12-17 08:19:30.000000000,-0.01665044247787607
2020-12-18,2020-12-18 08:28:38.181818112,0.07421212121212126
2020-12-19,2020-12-19 08:30:45.918367232,-0.01589115646258501
2020-12-20,2020-12-20 06:53:53.193277184,-0.07888235294117643
2020-12-21,2020-12-21 08:43:30.000000000,0.024236017897091757
2020-12-22,2020-12-22 09:04:25.068493056,0.049710045662100494
2020-12-23,2020-12-23 08:19:25.354838784,-0.005768817204301024
2020-12-24,2020-12-24 08:55:30.000000000,0.002891136801541447
2020-12-25,2020-12-25 09:33:40.106666752,-0.020356444444444424
2020-12-26,2020-12-26 09:38:45.000000000,0.026644965277777804
2020-12-27,2020-12-27 10:23:00.000000000,-0.047217321571772226
2020-12-28,2020-12-28 09:38:20.232558080,0.1466666666666667
2020-12-29,2020-12-29 10:13:07.142857216,0.13223544973544976
2020-12-30,2020-12-30 07:07:35.147453184,0.060485254691689055
2020-12-31,2020-12-31 08:07:30.503919360,0.1170839865621501
